10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
3068,2288,3757,3778,3674,2123,994,785,459,172,5,3068,5356,9113,12891,16565,18688,19682,20467,20926,21098,21103
2530,2052,3053,3193,3016,1617,846,616,441,145,9,2530,4582,7635,10828,13844,15461,16307,16923,17364,17509,17518
1796,1397,2047,2079,2037,1264,693,450,296,123,5,1796,3193,5240,7319,9356,10620,11313,11763,12059,12182,12187
2568,1998,2778,2872,2861,1812,933,644,435,180,17,2568,4566,7344,10216,13077,14889,15822,16466,16901,17081,17098
3155,2105,2898,2995,2994,1758,942,703,530,185,5,3155,5260,8158,11153,14147,15905,16847,17550,18080,18265,18270
2998,2150,3032,3170,3259,1911,1009,709,485,152,7,2998,5148,8180,11350,14609,16520,17529,18238,18723,18875,18882
2740,2063,3091,3317,3212,1960,982,671,422,177,11,2740,4803,7894,11211,14423,16383,17365,18036,18458,18635,18646
1692,1296,1940,2061,2093,1182,591,445,302,140,10,1692,2988,4928,6989,9082,10264,10855,11300,11602,11742,11752
2111,1525,2061,2252,2186,1309,687,417,355,151,4,2111,3636,5697,7949,10135,11444,12131,12548,12903,13054,13058
1611,1152,1607,1726,1730,1115,570,395,291,121,7,1611,2763,4370,6096,7826,8941,9511,9906,10197,10318,10325
2438,1877,2241,2634,2740,1681,752,551,418,171,9,2438,4315,6556,9190,11930,13611,14363,14914,15332,15503,15512
2809,2163,2538,2899,3027,1691,867,671,447,201,9,2809,4972,7510,10409,13436,15127,15994,16665,17112,17313,17322
2753,2075,2733,3168,3116,1759,969,646,439,183,12,2753,4828,7561,10729,13845,15604,16573,17219,17658,17841,17853
2398,1907,2436,2777,2915,1550,869,556,498,202,7,2398,4305,6741,9518,12433,13983,14852,15408,15906,16108,16115
2132,1576,2012,2245,2310,1377,730,519,412,179,11,2132,3708,5720,7965,10275,11652,12382,12901,13313,13492,13503
2389,1679,1884,2012,2114,1236,665,466,340,139,8,2389,4068,5952,7964,10078,11314,11979,12445,12785,12924,12932
1672,1153,1334,1337,1406,873,406,285,221,108,1,1672,2825,4159,5496,6902,7775,8181,8466,8687,8795,8796
2135,1463,1565,1734,1937,1113,586,410,345,141,6,2135,3598,5163,6897,8834,9947,10533,10943,11288,11429,11435
2895,1833,1873,2294,2388,1436,667,518,444,200,7,2895,4728,6601,8895,11283,12719,13386,13904,14348,14548,14555
1957,1366,1467,1671,1635,927,448,326,258,107,1,1957,3323,4790,6461,8096,9023,9471,9797,10055,10162,10163
1939,1319,1555,1935,2000,1007,536,394,292,137,8,1939,3258,4813,6748,8748,9755,10291,10685,10977,11114,11122
2112,1393,1693,2021,1977,1082,505,354,283,133,4,2112,3505,5198,7219,9196,10278,10783,11137,11420,11553,11557
1844,1308,1478,1726,1813,1012,462,325,235,101,9,1844,3152,4630,6356,8169,9181,9643,9968,10203,10304,10313
1845,1306,1399,1585,1532,884,406,308,266,88,5,1845,3151,4550,6135,7667,8551,8957,9265,9531,9619,9624
2060,1405,1693,2041,2092,1125,569,377,299,135,4,2060,3465,5158,7199,9291,10416,10985,11362,11661,11796,11800
2409,1600,1862,2142,2085,1219,575,361,283,141,11,2409,4009,5871,8013,10098,11317,11892,12253,12536,12677,12688
