10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
12.3350,10.9976,22.3281,18.6431,15.8019,9.7176,4.6034,3.0249,1.7334,0.7864,0.0287,12.3350,23.3326,45.6607,64.3038,80.1056,89.8232,94.4266,97.4515,99.1849,99.9713,100.0000
14.1203,11.6725,20.8092,17.4490,15.8256,9.7282,4.8200,3.1714,1.7619,0.6230,0.0189,14.1203,25.7929,46.6021,64.0511,79.8767,89.6048,94.4249,97.5963,99.3582,99.9811,100.0000
13.6677,11.7006,21.1530,16.7078,16.0266,10.1252,4.9391,2.9635,1.7457,0.9197,0.0511,13.6677,25.3683,46.5213,63.2292,79.2557,89.3809,94.3200,97.2835,99.0292,99.9489,100.0000
14.4055,11.3830,19.5633,17.6707,15.7782,10.0936,4.7418,3.3484,2.1075,0.9081,0.0000,14.4055,25.7886,45.3518,63.0225,78.8007,88.8943,93.6360,96.9844,99.0919,100.0000,100.0000
15.3004,11.3987,18.7335,17.3417,16.2097,9.7704,4.9640,3.4145,2.1062,0.7052,0.0557,15.3004,26.6991,45.4326,62.7743,78.9840,88.7543,93.7184,97.1329,99.2392,99.9443,100.0000
14.5402,11.7328,18.6254,17.7832,16.7183,9.8790,4.7773,3.2769,2.0136,0.6389,0.0145,14.5402,26.2730,44.8984,62.6815,79.3998,89.2788,94.0561,97.3330,99.3466,99.9855,100.0000
13.8229,10.7955,18.5131,18.6192,17.1384,10.1183,4.7812,3.3559,2.0368,0.7935,0.0253,13.8229,24.6184,43.1315,61.7507,78.8891,89.0074,93.7885,97.1444,99.1812,99.9747,100.0000
14.5382,10.8421,17.8032,17.9027,17.4098,10.0602,4.7102,3.7199,2.1750,0.8150,0.0237,14.5382,25.3803,43.1834,61.0861,78.4959,88.5561,93.2664,96.9862,99.1613,99.9763,100.0000
14.4423,11.7137,17.4278,18.2270,17.2166,9.2305,4.8293,3.5164,2.5174,0.8277,0.0514,14.4423,26.1560,43.5837,61.8107,79.0273,88.2578,93.0871,96.6035,99.1209,99.9486,100.0000
14.7370,11.4630,16.7966,17.0592,16.7145,10.3717,5.6864,3.6925,2.4288,1.0093,0.0410,14.7370,26.2000,42.9966,60.0558,76.7703,87.1420,92.8284,96.5209,98.9497,99.9590,100.0000
15.0193,11.6856,16.2475,16.7973,16.7330,10.5977,5.4568,3.7665,2.5442,1.0528,0.0994,15.0193,26.7049,42.9524,59.7497,76.4826,87.0804,92.5371,96.3037,98.8478,99.9006,100.0000
17.2687,11.5216,15.8621,16.3930,16.3875,9.6223,5.1560,3.8478,2.9009,1.0126,0.0274,17.2687,28.7904,44.6524,61.0454,77.4330,87.0553,92.2113,96.0591,98.9600,99.9726,100.0000
15.8776,11.3865,16.0576,16.7885,17.2598,10.1207,5.3437,3.7549,2.5686,0.8050,0.0371,15.8776,27.2641,43.3217,60.1102,77.3700,87.4907,92.8344,96.5893,99.1579,99.9629,100.0000
14.6948,11.0640,16.5773,17.7893,17.2262,10.5116,5.2665,3.5986,2.2632,0.9493,0.0590,14.6948,25.7589,42.3362,60.1255,77.3517,87.8633,93.1299,96.7285,98.9917,99.9410,100.0000
14.3975,11.0279,16.5078,17.5374,17.8097,10.0579,5.0289,3.7866,2.5698,1.1913,0.0851,14.3975,25.4255,41.9333,59.4707,77.2805,87.3383,92.3673,96.1538,98.7236,99.9149,100.0000
16.1663,11.6787,15.7834,17.2461,16.7407,10.0245,5.2611,3.1934,2.7186,1.1564,0.0306,16.1663,27.8450,43.6284,60.8746,77.6153,87.6398,92.9009,96.0943,98.8130,99.9694,100.0000
15.6029,11.1574,15.5642,16.7167,16.7554,10.7990,5.5206,3.8257,2.8184,1.1719,0.0678,15.6029,26.7603,42.3245,59.0412,75.7966,86.5956,92.1162,95.9419,98.7603,99.9322,100.0000
15.7169,12.1003,14.4469,16.9804,17.6637,10.8368,4.8479,3.5521,2.6947,1.1024,0.0580,15.7169,27.8172,42.2641,59.2445,76.9082,87.7450,92.5928,96.1449,98.8396,99.9420,100.0000
16.2164,12.4870,14.6519,16.7359,17.4749,9.7622,5.0052,3.8737,2.5805,1.1604,0.0520,16.2164,28.7034,43.3553,60.0912,77.5661,87.3283,92.3334,96.2071,98.7877,99.9480,100.0000
