"公表_年月日" "陽性者数" "軽症・中等症" "重症" "宿泊療養" "自宅療養" "調整中" "死亡"
2022/07/24 28112 3490 14 5872 112914 95021 2
2022/07/25 22387 3534 15 6065 153125 62457 3
2022/07/26 31593 3633 21 6389 151497 61801 5
2022/07/27 29036 3701 24 6672 159060 63635 6
2022/07/28 40406 3767 27 6523 178862 70884 7
2022/07/29 36814 3893 26 6506 200493 69964 5
2022/07/30 33466 3958 24 6621 218662 77665 12
2022/07/31 31483 3954 23 6718 181620 88135 8
2022/08/01 21958 3964 29 6935 195752 73068 3
2022/08/02 30842 4021 34 7124 181968 72561 9
2022/08/03 38940 4056 35 7101 194285 85103 12
2022/08/04 35339 4129 39 6969 183004 86146 15
2022/08/05 37767 4202 38 6810 182787 96479 21
2022/08/06 30970 4212 37 6848 172799 98905 13
2022/08/07 26313 4276 36 6935 162979 107340 12
2022/08/08 17884 4281 39 7070 185407 72676 13
2022/08/09 29115 4264 40 7176 169021 80984 20
2022/08/10 34243 4208 40 7117 180520 67787 17
2022/08/11 31247 4299 40 7022 185319 78815 22
2022/08/12 20401 4301 42 7056 185950 59356 30
2022/08/13 23773 4263 43 6904 167433 68963 32
2022/08/14 22740 4313 42 6809 175291 76116 13
2022/08/15 23135 4345 38 6546 155098 66240 14
2022/08/16 23511 4370 36 6417 138636 63168 22
2022/08/17 29416 4389 35 6476 136078 67669 25
2022/08/18 27453 4404 33 6522 146470 64825 27
2022/08/19 27676 4412 34 6531 138316 67717 28
2022/08/20 25277 4423 36 6640 129986 73987 23
2022/08/21 24780 4413 38 6705 126226 75883 29
2022/08/22 15085 4418 36 6510 139818 55596 22
2022/08/23 21770 4353 39 6351 130780 58070 25
2022/08/24 25444 4241 36 6284 130031 66012 22
2022/08/25 23129 4128 38 6266 132787 65175 26
2022/08/26 18423 4043 38 6128 128641 58730 25
2022/08/27 17126 3962 38 5937 119253 62985 25
2022/08/28 15834 3952 40 5747 111138 66859 23
2022/08/29 9880 3881 41 5290 108564 55109 30
2022/08/30 14219 3747 36 5062 98968 57872 26
2022/08/31 15196 3598 33 4870 94241 58401 28
2022/09/01 14451 3507 34 4658 98740 57600 30
2022/09/02 12413 3477 34 4436 92212 56119 30
2022/09/03 12561 3390 32 4309 83808 60709 27
2022/09/04 9635 3349 35 4218 78783 60844 31
2022/09/05 7296 3338 33 3934 77122 47708 31
2022/09/06 9486 3270 32 3813 71927 45977 27
2022/09/07 13568 3222 29 3733 70420 47582 29
2022/09/08 10640 3170 31 3654 71484 45139 30
2022/09/09 9240 3110 32 2842 40377 42768 29
2022/09/10 9988 3071 30 2664 38081 46401 27
2022/09/11 7750 3003 32 2645 35922 48240 24
2022/09/12 5654 2958 32 2399 40412 40460 19
2022/09/13 8855 2773 28 2265 35502 40015 20
2022/09/14 10593 2635 26 2258 32678 42645 16
2022/09/15 8825 2565 26 2227 33953 39695 14
2022/09/16 8636 2455 26 2228 35126 38470 13
2022/09/17 8018 2405 24 2185 33594 40439 10
2022/09/18 8077 2326 25 2166 31354 43810 6
2022/09/19 4069 2286 25 1968 31937 38248 5
2022/09/20 3794 2257 28 1760 31910 31623 5
