日付,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上
7/6,0,0,0,0,0,0,1,1,10,10,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,100.00,100.00,0,0,0,0,0,0,1,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,90.00,0.00
7/13,0,0,0,0,1,6,17,44,94,141,0.00,0.00,0.00,0.00,0.71,4.26,12.06,31.21,66.67,100.00,0,0,0,0,1,5,11,27,50,47,0.00,0.00,0.00,0.00,0.71,3.55,7.80,19.15,35.46,33.33
7/20,1,2,4,6,9,19,33,75,198,274,0.36,0.73,1.46,2.19,3.28,6.93,12.04,27.37,72.26,100.00,1,1,2,2,3,10,14,42,123,76,0.36,0.36,0.73,0.73,1.09,3.65,5.11,15.33,44.89,27.74
7/27,3,4,5,10,13,28,66,153,409,632,0.47,0.63,0.79,1.58,2.06,4.43,10.44,24.21,64.72,100.00,3,1,1,5,3,15,38,87,256,223,0.47,0.16,0.16,0.79,0.47,2.37,6.01,13.77,40.51,35.28
8/3,2,2,6,8,21,40,83,242,657,955,0.21,0.21,0.63,0.84,2.20,4.19,8.69,25.34,68.80,100.00,2,0,4,2,13,19,43,159,415,298,0.21,0.00,0.42,0.21,1.36,1.99,4.50,16.65,43.46,31.20
8/10,0,0,1,1,3,3,3,3,3,3,0.00,0.00,33.33,33.33,100.00,100.00,100.00,100.00,100.00,100.00,0,0,1,0,2,0,0,0,0,0,0.00,0.00,33.33,0.00,66.67,0.00,0.00,0.00,0.00,0.00
8/17,3,4,9,22,55,136,342,945,2224,3246,0.09,0.12,0.28,0.68,1.69,4.19,10.54,29.11,68.52,100.00,3,1,5,13,33,81,206,603,1279,1022,0.09,0.03,0.15,0.40,1.02,2.50,6.35,18.58,39.40,31.48
8/24,2,3,3,12,30,68,157,439,1089,1606,0.12,0.19,0.19,0.75,1.87,4.23,9.78,27.33,67.81,100.00,2,1,0,9,18,38,89,282,650,517,0.12,0.06,0.00,0.56,1.12,2.37,5.54,17.56,40.47,32.19
8/31,1,1,1,1,1,1,1,1,1,1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1,0,0,0,0,0,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/7,1,1,3,10,24,51,108,333,818,1185,0.08,0.08,0.25,0.84,2.03,4.30,9.11,28.10,69.03,100.00,1,0,2,7,14,27,57,225,485,367,0.08,0.00,0.17,0.59,1.18,2.28,4.81,18.99,40.93,30.97
9/14,2,2,5,5,12,25,58,222,569,852,0.23,0.23,0.59,0.59,1.41,2.93,6.81,26.06,66.78,100.00,2,0,3,0,7,13,33,164,347,283,0.23,0.00,0.35,0.00,0.82,1.53,3.87,19.25,40.73,33.22
9/21,4,4,4,4,4,4,4,4,4,4,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,4,0,0,0,0,0,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/28,1,2,2,8,20,55,144,372,825,1181,0.08,0.17,0.17,0.68,1.69,4.66,12.19,31.50,69.86,100.00,1,1,0,6,12,35,89,228,453,356,0.08,0.08,0.00,0.51,1.02,2.96,7.54,19.31,38.36,30.14
10/5,0,0,0,2,5,11,39,119,295,417,0.00,0.00,0.00,0.48,1.20,2.64,9.35,28.54,70.74,100.00,0,0,0,2,3,6,28,80,176,122,0.00,0.00,0.00,0.48,0.72,1.44,6.71,19.18,42.21,29.26
10/12,1,2,2,4,8,14,32,88,205,288,0.35,0.69,0.69,1.39,2.78,4.86,11.11,30.56,71.18,100.00,1,1,0,2,4,6,18,56,117,83,0.35,0.35,0.00,0.69,1.39,2.08,6.25,19.44,40.62,28.82
10/19,0,0,1,3,7,19,42,97,232,334,0.00,0.00,0.30,0.90,2.10,5.69,12.57,29.04,69.46,100.00,0,0,1,2,4,12,23,55,135,102,0.00,0.00,0.30,0.60,1.20,3.59,6.89,16.47,40.42,30.54
10/26,0,0,1,1,6,14,35,94,240,334,0.00,0.00,0.30,0.30,1.80,4.19,10.48,28.14,71.86,100.00,0,0,1,0,5,8,21,59,146,94,0.00,0.00,0.30,0.00,1.50,2.40,6.29,17.66,43.71,28.14
11/2,0,1,1,2,6,13,36,100,230,333,0.00,0.30,0.30,0.60,1.80,3.90,10.81,30.03,69.07,100.00,0,1,0,1,4,7,23,64,130,103,0.00,0.30,0.00,0.30,1.20,2.10,6.91,19.22,39.04,30.93
